0,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.02,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.3533334,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.6599806,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.6974946,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.719256,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.7388922,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.7606905,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.7821635,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.8045965,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.8268664,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.8462775,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.86566,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.8876815,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.9071676,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.9264528,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.9453539,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.964277,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
0.9834457,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.002902,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.022117,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.041054,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.062827,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.082193,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.105205,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.124452,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.143735,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.162679,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.18179,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.201212,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.220726,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.240643,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.259732,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.279291,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.300329,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.323716,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.343129,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.363706,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.383663,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.403139,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.422763,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.442173,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.461734,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.480783,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.499996,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.519264,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.552453,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.582003,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.610866,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.633969,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.654235,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.674319,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.696371,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.71593,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.735844,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.758335,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.777797,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
1.797193,(-5.007, -1.5, -4.35),(0, 0, 0, 1)
